# x_m,y_m,w_tr_right_m,w_tr_left_m
9.9428914,87.16879180000001,7.736,7.564
10.522447,87.98523,7.799,7.501
11.115684600000002,88.792259,7.838,7.462
11.722480400000002,89.58940000000001,7.866,7.434
12.342710400000001,90.3761738,7.894,7.406
12.976250400000001,91.15210200000001,7.921,7.379
13.622976800000002,91.91670520000001,7.951,7.349
14.2827654,92.66950480000001,7.982,7.318
14.9554924,93.41002160000001,8.013,7.287
15.6410336,94.13777700000001,8.045,7.255
16.3392652,94.8522918,8.076,7.224
17.0500634,95.55308740000001,8.107,7.193
17.7733038,96.23968500000001,8.138,7.162
18.5088442,96.9117442,8.17,7.13
19.2564982,97.56925340000001,8.179,7.121
20.016073600000002,98.2122496,8.159,7.141
20.7873772,98.8407698,8.138,7.162
21.570216600000002,99.454851,8.118,7.182
22.364399000000002,100.05452960000001,8.098,7.202
23.1697318,100.6398428,8.077,7.223
23.9860224,101.21082760000002,8.057,7.243
24.813078,101.7675208,8.038,7.262
25.650705799999997,102.30995920000001,8.028,7.272
26.498713600000002,102.83817959999999,8.018,7.282
27.3569082,103.3522192,8.008,7.292
28.225096000000004,103.85210560000002,7.998,7.302
29.1030196,104.33745180000001,7.876,7.424
29.990334200000003,104.8072932,7.731,7.569
30.8866888,105.2606222,7.585,7.715
31.791731800000004,105.69643100000002,7.439,7.861
32.70511200000001,106.11371240000001,7.396,7.904
33.626478,106.5114586,7.475,7.825
34.5554784,106.88866200000001,7.555,7.745
35.491762200000004,107.24431520000002,7.635,7.665
36.434978,107.57741060000001,7.704,7.596
37.3847742,107.8869408,7.739,7.561
38.340799800000006,108.17189780000001,7.774,7.526
39.302703400000006,108.43127460000001,7.809,7.491
40.2701214,108.664431,7.844,7.456
41.2426366,108.87233140000001,7.882,7.418
42.219818000000004,109.0563776,7.919,7.381
43.2012336,109.21797099999999,7.956,7.344
44.186452,109.3585136,7.993,7.307
45.1750416,109.47940679999999,8.054,7.246
46.1665708,109.5820522,8.118,7.182
47.1606084,109.6678516,8.182,7.118
48.15672240000001,109.7382066,8.246,7.054
49.154481600000004,109.79451879999999,8.243,7.057
50.1534544,109.83819000000001,8.107,7.193
51.153209000000004,109.8706216,7.971,7.329
52.1533144,109.89321500000001,7.835,7.465
53.1534502,109.9072134,7.699,7.601
54.1535662,109.91347619999999,7.563,7.737
55.153652,109.91280440000001,7.427,7.873
56.153698,109.9059998,7.363,7.937
57.153694,109.89386360000002,7.389,7.911
58.1536304,109.8771976,7.415,7.885
59.15349700000001,109.856803,7.441,7.859
60.1532838,109.83348140000001,7.467,7.833
61.152981000000004,109.8080344,7.493,7.807
62.152578600000005,109.7812632,7.519,7.781
63.152066600000005,109.7539696,7.544,7.756
64.15143520000001,109.7269546,7.565,7.735
65.1506762,109.70095520000001,7.586,7.714
66.149797,109.67617080000001,7.607,7.693
